iter	Passed	Remaining
0	186	37166
1	192	19039
2	198	13065
3	205	10047
4	211	8257
5	220	7128
6	227	6266
7	233	5615
8	240	5095
9	245	4672
10	252	4339
11	258	4052
12	265	3812
13	270	3598
14	277	3417
15	284	3267
16	289	3118
17	295	2990
18	300	2858
19	304	2741
20	309	2640
21	314	2543
22	319	2457
23	324	2378
24	328	2300
25	331	2219
26	334	2144
27	338	2079
28	343	2023
29	346	1963
30	348	1900
31	351	1843
32	357	1807
33	361	1765
34	365	1722
35	370	1689
36	375	1653
37	378	1611
38	381	1574
39	385	1543
40	388	1507
41	391	1472
42	393	1437
43	395	1403
44	400	1378
45	402	1347
46	405	1318
47	407	1290
48	409	1262
49	411	1233
50	414	1209
51	416	1186
52	419	1162
53	421	1138
54	423	1115
55	425	1094
56	428	1074
57	430	1053
58	431	1032
59	433	1011
60	435	992
61	436	972
62	438	952
63	439	934
64	440	915
65	442	898
66	445	883
67	447	868
68	449	852
69	450	836
70	452	821
71	453	806
72	455	792
73	456	778
74	458	764
75	461	752
76	462	739
77	464	726
78	466	713
79	467	701
80	469	689
81	470	677
82	472	665
83	474	654
84	477	645
85	479	635
86	481	624
87	483	614
88	484	604
89	486	594
90	487	584
91	489	574
92	492	566
93	494	557
94	496	548
95	498	539
96	499	530
97	500	521
98	502	512
99	504	504
100	505	495
101	508	488
102	510	480
103	511	472
104	512	463
105	513	455
106	515	447
107	516	439
108	517	432
109	519	424
110	520	417
111	521	409
112	523	403
113	525	396
114	526	388
115	527	381
116	528	375
117	529	368
118	530	361
119	532	354
120	533	348
121	534	341
122	535	335
123	536	329
124	539	323
125	540	317
126	541	311
127	543	305
128	544	299
129	545	293
130	546	287
131	547	282
132	549	276
133	550	271
134	551	265
135	552	260
136	554	255
137	557	250
138	559	245
139	561	240
140	563	235
141	565	230
142	567	226
143	571	222
144	573	217
145	574	212
146	576	208
147	578	203
148	580	198
149	582	194
150	584	189
151	588	185
152	589	181
153	591	176
154	593	172
155	595	168
156	597	163
157	600	159
158	602	155
159	604	151
160	606	146
161	607	142
162	609	138
163	611	134
164	613	130
165	615	126
166	617	122
167	619	118
168	621	114
169	623	109
170	625	105
171	626	101
172	627	97
173	629	94
174	631	90
175	633	86
176	636	82
177	638	78
178	640	75
179	642	71
180	644	67
181	645	63
182	649	60
183	651	56
184	652	52
185	654	49
186	657	45
187	658	42
188	660	38
189	663	34
190	664	31
191	666	27
192	668	24
193	670	20
194	671	17
195	673	13
196	675	10
197	678	6
198	679	3
199	681	0
